Sn No,name,company,type,,ABV,rank,Review,ratings,lng,lat,Address
61,Drie Fonteinen Zenne Y Frontera,Brouwerij Drie Fonteinen,Lambic - Unblended , 7.00% ABV,,4.49,35,134,4.3083539,50.7666484,"hoogstraat 2, 1650 beersel, belgium"
62,Bell's Black Note Stout,"Bell's Brewery, Inc.",American Double , Imperial Stout , 12.00% ABV,4.49,651,"4,223",-85.5788639,42.2951058,"355 e kalamazoo ave, kalamazoo, mi 49007, usa"
63,Double Citra,Hill Farmstead Brewery,American Double , Imperial IPA , 11.60% ABV,4.48,204,"1,702",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
64,Atrial Rubicite,Jester King Brewery,American Wild Ale , 5.80% ABV,,4.48,159,"1,690",-97.9990985,30.2306803,"13187 fitzhugh rd, austin, tx 78736, usa"
65,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,Fremont Brewing Company,American Strong Ale , 14.00% ABV,,4.48,96,758,-122.344586,47.649044,"1050 n 34th st, seattle, wa 98103, usa"
66,Bourbon Barrel Aged Dark Lord Imperial Stout,3 Floyds Brewing Co.,Russian Imperial Stout , 15.00% ABV,,4.48,195,814,-87.5168114,41.5355252,"9750 indiana pkwy, munster, in 46321, usa"
67,Kuhnhenn Bourbon Barrel Fourth Dementia,Kuhnhenn Brewing Company,Old Ale , 13.50% ABV,,4.48,412,"1,890",-83.0467647,42.5277682,"5919 chicago rd, warren, mi 48092, usa"
68,The Rusty Nail,Fremont Brewing Company,American Double , Imperial Stout , 5.00% ABV,4.48,40,186,-122.344586,47.649044,"1050 n 34th st, seattle, wa 98103, usa"
69,PseudoSue,Toppling Goliath Brewing Company,American Pale Ale (APA) , 5.80% ABV,,4.48,597,"4,137",-91.7970381,43.3082911,"310 college dr, decorah, ia 52101, usa"
70,Master Of Karate,Aslin Beer Company,American Double , Imperial IPA , 6.40% ABV,4.48,59,199,-77.3749276,38.9564316,"257 sunset park dr, herndon, va 20170, usa"
71,Evil Twin Double Barrel Jesus,Evil Twin Brewing,American Double , Imperial Stout , 9.20% ABV,4.48,78,614,-73.96913,40.709211,"446 kent ave #14a, brooklyn, ny 11249, usa"
72,The Abyss,Deschutes Brewery,American Double , Imperial Stout , 5.00% ABV,4.48,"1,935","6,952",-122.6820248,45.524496,"210 nw 11th ave, portland, or 97209, usa"
73,Beer Geek Vanilla Shake (Bourbon Edition),Mikkeller ApS,American Double , Imperial Stout , 15.00% ABV,4.48,50,348,12.5365565,55.6644792,"humletorvet 27, 3. sal, 1799 københavn v, denmark"
74,BDCS,Ozark Beer Co.,American Double , Imperial Stout , 10.00% ABV,4.48,58,316,-94.1178707,36.3168117,"1700 s 1st st, rogers, ar 72758, usa"
75,Scaled Way Up,Trillium Brewing Company,American Double , Imperial IPA , 5.00% ABV,4.47,49,333,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
76,Cutting Tiles (Mosaic),Trillium Brewing Company,American Double , Imperial IPA , 14.80% ABV,4.47,152,"1,069",-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
77,BOMB!,Prairie Artisan Ales,American Double , Imperial Stout , 5.70% ABV,4.47,878,"5,751",-95.7252857,34.9292413,"120 n 8th st w, krebs, ok 74554, usa"
78,Parabajava,Firestone Walker Brewing Co.,Russian Imperial Stout , 14.00% ABV,,4.47,81,658,-120.187765,34.619958,"620 mcmurray rd, buellton, ca 93427, usa"
79,Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel , 8.00% ABV,,4.47,812,"2,120",2.7199924,50.8956974,"donkerstraat 12, 8640 vleteren, belgium"
80,Ephraim,Hill Farmstead Brewery,American Double , Imperial IPA , 10.30% ABV,4.47,231,"1,012",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
81,Cable Car,The Lost Abbey,American Wild Ale , 7.00% ABV,,4.47,229,973,-117.1492892,33.1416499,"155 mata way #104, san marcos, ca 92069, usa"
82,Founders Breakfast Stout,Founders Brewing Company,American Double , Imperial Stout , 14.00% ABV,4.47,"3,785","16,354",-85.6741915,42.9583518,"235 grandville ave sw, grand rapids, mi 49503, usa"
83,Bourbon County Brand Barleywine Ale,Goose Island Beer Co.,English Barleywine , 12.10% ABV,,4.47,572,"5,058",-87.6727462,41.8871017,"1800 w fulton st, chicago, il 60612, usa"
84,Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad) , 11.30% ABV,,4.47,"2,839","9,114",5.2196184,50.1782881,"abbaye saint-remy, 5580 rochefort, belgium"
85,Citraquench'l,Heist Brewery,American IPA , 6.70% ABV,,4.47,37,129,-80.8094402,35.2454677,"2909 n davidson st #200, charlotte, nc 28205, usa"
86,Notorious Triple IPA,Boneyard Beer Company,American Double , Imperial IPA , 7.20% ABV,4.46,94,740,-121.3080614,44.0539751,"37 nw lake pl # b, bend, or 97701, usa"
87,Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,Russian Imperial Stout , 12.00% ABV,,4.46,433,"3,088",-84.9636291,42.2662122,"511 s kalamazoo ave, marshall, mi 49068, usa"
88,Crusher,The Alchemist,American Double , Imperial IPA , 6.70% ABV,4.46,190,"1,538",-72.7166371,44.4762604,"100 cottage club rd, stowe, vt 05672, usa"
89,Fuzzy Baby Ducks IPA,New England Brewing Co.,American IPA , 6.20% ABV,,4.46,89,750,-72.9808501,41.339609,"175 amity rd, woodbridge, ct 06525, usa"
90,Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Lambic - Fruit , 5.00% ABV,,4.46,349,"1,698",4.335646,50.8415336,"rue gheude 56, 1070 anderlecht, belgium"
91,Black Tuesday,The Bruery,American Double , Imperial Stout , 7.30% ABV,4.46,681,"3,821",-117.8791487,33.8623664,"717 dunn way, placentia, ca 92870, usa"
92,Beatification,Russian River Brewing Company,American Wild Ale , 5.50% ABV,,4.46,554,"2,601",-122.711642,38.441804,"725 4th st, santa rosa, ca 95404, usa"
93,Last Buffalo In The Park,Funky Buddha Brewery,American Double , Imperial Stout , 7.00% ABV,4.46,46,352,-80.1312729,26.1744468,"1201 ne 38th st, oakland park, fl 33334, usa"
94,Society & Solitude #5,Hill Farmstead Brewery,American Double , Imperial IPA , 10.50% ABV,4.46,163,"1,384",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
95,Pirate Bomb!,Prairie Artisan Ales,American Double , Imperial Stout , 11.50% ABV,4.46,209,"1,953",-95.7252857,34.9292413,"120 n 8th st w, krebs, ok 74554, usa"
96,Drie Fonteinen Oude Geuze Vintage,Brouwerij Drie Fonteinen,Gueuze , 6.00% ABV,,4.45,126,712,4.3083539,50.7666484,"hoogstraat 2, 1650 beersel, belgium"
97,Ten FIDY Bourbon Barrel Aged,Oskar Blues Grill & Brew,Russian Imperial Stout , 12.90% ABV,,4.45,191,"1,104",-105.268593,40.224328,"303 main st, lyons, co 80540, usa"
98,Susan,Hill Farmstead Brewery,American IPA , 6.20% ABV,,4.45,190,"1,791",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
99,Sosus,Toppling Goliath Brewing Company,American Double , Imperial IPA , 5.20% ABV,4.45,149,"1,304",-91.7970381,43.3082911,"310 college dr, decorah, ia 52101, usa"
100,Caffè Americano,Cigar City Brewing,American Double , Imperial Stout , 8.60% ABV,4.45,122,985,-82.5091911,27.959001,"3924 w spruce st, tampa, fl 33607, usa"
101,Abrasive Ale,Surly Brewing Company,American Double , Imperial IPA , 10.00% ABV,4.45,941,"4,505",-93.2098129,44.9732558,"520 malcolm ave se, minneapolis, mn 55414, usa"
102,§ucaba,Firestone Walker Brewing Co.,English Barleywine , 12.50% ABV,,4.45,873,"4,972",-120.187765,34.619958,"620 mcmurray rd, buellton, ca 93427, usa"
103,Trademark Dispute: Hazelnut,Peg's Cantina & Brew Pub,American Double , Imperial Stout, 6.00% ABV,4.45,32,220,-82.7074885,27.7394596,"3038 beach blvd s, gulfport, fl 33707, usa"
104,Everett Porter,Hill Farmstead Brewery,American Porter , 7.50% ABV,,4.45,382,"2,587",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
105,Todd The Axe Man,Surly Brewing Company,American IPA , 7.20% ABV,,4.45,360,"2,195",-93.2098129,44.9732558,"520 malcolm ave se, minneapolis, mn 55414, usa"
106,Drie Fonteinen Oude Geuze Golden Blend,Brouwerij Drie Fonteinen,Gueuze , 7.50% ABV,,4.45,177,"1,011",4.3083539,50.7666484,"hoogstraat 2, 1650 beersel, belgium"
107,Nectarine Premiere,de Garde Brewing,Saison , Farmhouse Ale , 7.00% ABV,4.45,29,214,-123.7999426,45.4207631,"6000 blimp blvd, tillamook, or 97141, usa"
108,Wide Awake It's Morning,Funky Buddha Brewery,American Porter , 10.00% ABV,,4.45,116,668,-80.1312729,26.1744468,"1201 ne 38th st, oakland park, fl 33334, usa"
109,AleSmith Speedway Stout - Bourbon Barrel Aged,AleSmith Brewing Company,American Double , Imperial Stout , 15.50% ABV,4.45,344,"2,080",-117.1498484,32.888186,"9990 alesmith ct, san diego, ca 92126, usa"
110,Congress Street IPA,Trillium Brewing Company,American IPA , 7.20% ABV,,4.45,224,"1,907",-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
111,Mosaic Dry Hopped Fort Point,Trillium Brewing Company,American Pale Ale (APA) , 6.60% ABV,,4.45,112,974,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
112,Bourbon Barrel Champion Ground,Jackie O's Pub & Brewery,American Double , Imperial Stout , 9.00% ABV,4.45,84,467,-82.1023006,39.3277484,"22-24 w union st, athens, oh 45701, usa"
113,Decoherence,Cigar City Brewing,American Double , Imperial Stout , 9.20% ABV,4.45,31,185,-82.5091911,27.959001,"3924 w spruce st, tampa, fl 33607, usa"
114,Miami Madness,J. Wakefield Brewing,Berliner Weissbier , 5.50% ABV,,4.45,45,299,-80.1975165,25.7995427,"120 nw 24th st, miami, fl 33127, usa"
115,Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA) , 6.60% ABV,,4.44,193,"1,820",-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
116,The Broken Truck,de Garde Brewing,Gueuze , 5.00% ABV,,4.44,25,162,-123.7999426,45.4207631,"6000 blimp blvd, tillamook, or 97141, usa"
117,Brew 1000 - Bourbon Barrel Aged,Fremont Brewing Company,English Barleywine , 13.10% ABV,,4.44,33,171,-122.344586,47.649044,"1050 n 34th st, seattle, wa 98103, usa"
118,Keene Idea,Alpine Beer Company,American Double , Imperial IPA ,,4.44,63,446,-116.7626535,32.8351644,"2363 alpine blvd, alpine, ca 91901, usa"
119,Adam From The Wood,Hair of the Dog Brewing Company / Brewery and Tasting Room,Old Ale , 12.00% ABV,,4.44,169,952,-122.6656431,45.515904,"61 se yamhill st, portland, or 97214, usa"
120,Permanent Funeral,3 Floyds Brewing Co.,American Double , Imperial IPA ,,4.44,322,"2,806",-87.5168114,41.5355252,"9750 indiana pkwy, munster, in 46321, usa"
121,Heavy Mettle,Trillium Brewing Company,American Double , Imperial IPA ,,4.44,91,823,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
122,Stickee Monkee,Firestone Walker Brewing Co.,Quadrupel (Quad) , 11.60% ABV,,4.43,257,"2,347",-120.187765,34.619958,"620 mcmurray rd, buellton, ca 93427, usa"
123,Upper Case,Trillium Brewing Company,American Double , Imperial IPA ,,4.43,101,795,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
124,Bourbon Barrel Aged Dark Star Oatmeal Stout,Fremont Brewing Company,Oatmeal Stout , 14.50% ABV,,4.43,63,468,-122.344586,47.649044,"1050 n 34th st, seattle, wa 98103, usa"
125,Juicy,Hill Farmstead Brewery,Saison , Farmhouse Ale ,,4.43,87,512,-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
126,Barrel Aged Bomb!,Prairie Artisan Ales,American Double , Imperial Stout ,,4.43,172,"1,031",-95.7252857,34.9292413,"120 n 8th st w, krebs, ok 74554, usa"
127,Imperial Biscotti Break Bourbon Barrel Aged,Evil Twin Brewing,American Double , Imperial Stout ,,4.43,136,"1,557",-73.96913,40.709211,"446 kent ave #14a, brooklyn, ny 11249, usa"
128,Imperial Russian Stout - Bourbon Barrel Aged,Stone Brewing,Russian Imperial Stout , 13.50% ABV,,4.43,167,"1,143",-117.119979,33.115659,"1999 citracado parkway, escondido, ca 92029, usa"
129,Hopslam Ale,"Bell's Brewery, Inc.",American Double , Imperial IPA ,,4.43,"3,511","12,896",-85.5788639,42.2951058,"355 e kalamazoo ave, kalamazoo, mi 49007, usa"
