Sn No,name,company,type,,ABV,rank,Review,ratings,lng,lat,Address
179,Double Dry Hopped Sleeper Street,Trillium Brewing Company,American IPA , 7.20% ABV,,4.40,88,740,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
180,Double Dry Hopped Scaled,Trillium Brewing Company,American IPA , 7.00% ABV,,4.40,77,582,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
181,Trademark Dispute: Pallet 1,Peg's Cantina & Brew Pub,American Double , Imperial Stout ,,4.40,52,309,-82.7074885,27.7394596,"3038 beach blvd s, gulfport, fl 33707, usa"
182,Softly Spoken Magic Spells,SingleCut Beersmiths,American Double , Imperial IPA ,,4.40,147,627,-73.901505,40.778201,"19-33 37th st, astoria, ny 11105, usa"
183,Dreadnaught IPA,3 Floyds Brewing Co.,American Double , Imperial IPA ,,4.40,"1,713","5,959",-87.5168114,41.5355252,"9750 indiana pkwy, munster, in 46321, usa"
184,Leche Borracho,Bottle Logic Brewing,American Double , Imperial Stout ,,4.39,51,278,-117.8597746,33.8495445,"1072 n armando st, anaheim, ca 92806, usa"
185,Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Russian Imperial Stout , 10.50% ABV,,4.39,97,684,-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
186,Matt,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Strong Ale , 11.50% ABV,,4.39,238,834,-122.6656431,45.515904,"61 se yamhill st, portland, or 97214, usa"
187,Bourbon Barrel Oro Negro,Jackie O's Pub & Brewery,American Double , Imperial Stout ,,4.39,43,287,-82.1023006,39.3277484,"22-24 w union st, athens, oh 45701, usa"
188,Society & Solitude #6,Hill Farmstead Brewery,American Double , Imperial IPA ,,4.39,72,672,-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
189,Yellow Rose,The Lone Pint Brewery,American IPA , 6.80% ABV,,4.39,220,"1,620",-95.7513358,30.2089705,"507 commerce st, magnolia, tx 77355, usa"
190,Great,Alpine Beer Company,American Barleywine , 14.00% ABV,,4.39,159,654,-116.7626535,32.8351644,"2363 alpine blvd, alpine, ca 91901, usa"
191,Cascade Sang Noir,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale , 9.50% ABV,,4.39,210,"1,644",-122.754126,45.485799,"7424 sw beaverton hillsdale hwy, portland, or 97225, usa"
192,Dusk Trill Dawn,Trillium Brewing Company,American Double , Imperial Stout ,,4.39,62,375,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
193,Scaled Up,Trillium Brewing Company,American Double , Imperial IPA ,,4.39,87,639,-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
194,Péché Mortel,Brasserie Dieu du Ciel!,American Double , Imperial Stout ,,4.39,"1,818","5,045",-73.5934397,45.5227334,"29 avenue laurier ouest, montréal, qc h2t 2n2, canada"
195,Saison Du Fermier,Side Project Brewing,Saison , Farmhouse Ale ,,4.39,44,634,-90.3194009,38.612008,"7373 marietta ave, st. louis, mo 63143, usa"
196,Spotted Puffer,Pipeworks Brewing Company,American Double , Imperial IPA ,,4.39,44,303,-87.7254048,41.9183425,"3912 w mclean ave, chicago, il 60647, usa"
197,Dragonsaddle,Hoof Hearted Brewing,American Double , Imperial IPA ,,4.39,41,220,-82.816682,40.366809,"300 county rd 26, marengo, oh 43334, usa"
198,Stone Enjoy By IPA,Stone Brewing,American Double , Imperial IPA ,,4.39,"1,445","10,568",-117.119979,33.115659,"1999 citracado parkway, escondido, ca 92029, usa"
199,Citra Showers,Noble Ale Works,American Double , Imperial IPA ,,4.38,73,496,-117.8828277,33.8084819,"1621 s sinclair st b, anaheim, ca 92806, usa"
200,Trademark Dispute: &+,Peg's Cantina & Brew Pub,American Double , Imperial Stout ,,4.38,40,282,-82.7074885,27.7394596,"3038 beach blvd s, gulfport, fl 33707, usa"
201,Edward,Hill Farmstead Brewery,American Pale Ale (APA) , 5.20% ABV,,4.38,348,"2,587",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
202,Double Shot- Batch 500,Tree House Brewing Company,American Stout , 8.60% ABV,,4.38,21,93,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
203,Ghost In The Machine,Parish Brewing Company,American Double , Imperial IPA ,,4.38,91,554,-91.948504,30.1592283,"229 jared dr, broussard, la 70518, usa"
204,Barrel-Aged Silhouette,Lift Bridge Brewery,Russian Imperial Stout , 10.00% ABV,,4.38,45,359,-92.831768,45.039217,"1900 tower dr w, stillwater, mn 55082, usa"
205,XHOPS (Gold Label),Toppling Goliath Brewing Company,American Pale Ale (APA) , 5.30% ABV,,4.38,79,461,-91.7970381,43.3082911,"310 college dr, decorah, ia 52101, usa"
206,Madagascar,4 Hands Brewing Co.,Milk , Sweet Stout ,,4.38,70,663,-90.1975715,38.6149608,"1220 s 8th st, st. louis, mo 63104, usa"
207,Sure Bet,Pipeworks Brewing Company,American Double , Imperial IPA ,,4.38,62,515,-87.7254048,41.9183425,"3912 w mclean ave, chicago, il 60647, usa"
208,Tweak,Avery Brewing Company,American Double , Imperial Stout ,,4.38,298,"2,206",-105.2047427,40.0625629,"4910 nautilus ct s, boulder, co 80301, usa"
209,Vicinity,Trillium Brewing Company,American Double , Imperial IPA ,,4.38,180,"1,347",-71.0480393,42.3498162,"369 congress st, boston, ma 02210, usa"
210,Drie Fonteinen Hommage,Brouwerij Drie Fonteinen,Lambic - Fruit , 6.00% ABV,,4.38,179,852,4.3083539,50.7666484,"hoogstraat 2, 1650 beersel, belgium"
211,Exponential Hoppiness,Alpine Beer Company,American Double , Imperial IPA ,,4.37,400,"1,302",-116.7626535,32.8351644,"2363 alpine blvd, alpine, ca 91901, usa"
212,Lumen,Grimm Artisanal Ales,American IPA , 6.40% ABV,,4.37,49,299,-105.046949,40.396763,"623 denver ave, loveland, co 80537, usa"
213,Peche 'n Brett,Logsdon Farmhouse Ales,Saison , Farmhouse Ale ,,4.37,170,"1,261",-121.5362662,45.5880618,"4785 booth hill rd, hood river, or 97031, usa"
214,Genealogy Of Morals (Bourbon Barrel Aged),Hill Farmstead Brewery,American Double , Imperial Stout ,,4.37,53,522,-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
215,Nelson,Alpine Beer Company,American IPA , 7.00% ABV,,4.37,824,"4,048",-116.7626535,32.8351644,"2363 alpine blvd, alpine, ca 91901, usa"
216,3rd Anniversary Imperial IPA,Other Half Brewing Co.,American Double , Imperial IPA ,,4.37,26,118,-73.9990594,40.6738864,"195 centre st, brooklyn, ny 11231, usa"
217,Péché Mortel En Fût De Bourbon Américain,Brasserie Dieu du Ciel!,American Double , Imperial Stout ,,4.37,91,453,-73.5934397,45.5227334,"29 avenue laurier ouest, montréal, qc h2t 2n2, canada"
218,Trademark Dispute: Nooner 10,Peg's Cantina & Brew Pub,American Double , Imperial Stout ,,4.37,39,261,-82.7074885,27.7394596,"3038 beach blvd s, gulfport, fl 33707, usa"
219,Mind The Hop,Aslin Beer Company,American Double , Imperial IPA ,,4.37,28,100,-77.3749276,38.9564316,"257 sunset park dr, herndon, va 20170, usa"
220,Cantillon Lou Pepe - Gueuze,Brasserie Cantillon,Gueuze , 5.00% ABV,,4.37,205,"1,123",4.335646,50.8415336,"rue gheude 56, 1070 anderlecht, belgium"
221,High West-ified Imperial Coffee Stout,Lagunitas Brewing Company,American Double , Imperial Stout ,,4.37,303,"1,738",-87.6919883,41.8572025,"2607 w 17th st, chicago, il 60608, usa"
222,Lambo Door,Grimm Artisanal Ales,American Double , Imperial IPA ,,4.37,102,508,-105.046949,40.396763,"623 denver ave, loveland, co 80537, usa"
223,All Green Everything,Other Half Brewing Co.,American Double , Imperial IPA ,,4.37,119,985,-73.9990594,40.6738864,"195 centre st, brooklyn, ny 11231, usa"
224,Sculpin IPA,Ballast Point Brewing Company,American IPA , 7.00% ABV,,4.37,"2,464","13,670",-117.1579467,32.8880934,"9045 carroll way, san diego, ca 92121, usa"
225,Mosaic IPA,Other Half Brewing Co.,American IPA , 7.20% ABV,,4.37,43,368,-73.9990594,40.6738864,"195 centre st, brooklyn, ny 11231, usa"
226,Trickery,Hardywood Park Craft Brewery,Milk , Sweet Stout ,,4.37,46,378,-77.4575775,37.564552,"2408-2410 ownby ln, richmond, va 23220, usa"
227,Grey Monday,The Bruery,American Double , Imperial Stout ,,4.37,141,"1,687",-117.8791487,33.8623664,"717 dunn way, placentia, ca 92870, usa"
228,Kuhnhenn Raspberry Eisbock,Kuhnhenn Brewing Company,Eisbock , 15.50% ABV,,4.37,453,"1,247",-83.0467647,42.5277682,"5919 chicago rd, warren, mi 48092, usa"
229,AleSmith Speedway Stout,AleSmith Brewing Company,American Double , Imperial Stout ,,4.37,"1,660","6,683",-117.1498484,32.888186,"9990 alesmith ct, san diego, ca 92126, usa"
230,Bourbon Abominable Winter Ale,Fremont Brewing Company,American Strong Ale , 14.00% ABV,,4.37,179,"1,061",-122.344586,47.649044,"1050 n 34th st, seattle, wa 98103, usa"
231,Box Set Track #10 - Bat Out Of Hell,The Lost Abbey,American Double , Imperial Stout ,,4.37,138,"1,002",-117.1492892,33.1416499,"155 mata way #104, san marcos, ca 92069, usa"
232,The Pupil,Societe Brewing Co.,American IPA , 7.80% ABV,,4.37,94,883,-117.1463722,32.833882,"8262 clairemont mesa blvd, san diego, ca 92111, usa"
233,Kentucky Christmas Morning,Hardywood Park Craft Brewery,Milk , Sweet Stout ,,4.36,33,201,-77.4575775,37.564552,"2408-2410 ownby ln, richmond, va 23220, usa"
234,Clare's Thirsty Ale,Haymarket Pub & Brewery,American Double , Imperial Stout ,,4.36,28,195,-87.6472462,41.8841279,"737 w randolph st, chicago, il 60661, usa"
235,"Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)",Side Project Brewing,American Double , Imperial Stout ,,4.36,13,45,-90.3194009,38.612008,"7373 marietta ave, st. louis, mo 63143, usa"
236,Mexican Cake,Westbrook Brewing Co.,American Double , Imperial Stout ,,4.36,326,"2,666",-79.876635,32.8467158,"510 ridge rd, mt pleasant, sc 29464, usa"
237,Winter Ale (5th Anniversary Ale),Kern River Brewing Company,American Double , Imperial IPA ,,4.36,101,356,-118.4192969,35.7574666,"13415 sierra way, kernville, ca 93238, usa"
238,Mocha Wednesday,The Bruery,American Double , Imperial Stout ,,4.36,116,"1,273",-117.8791487,33.8623664,"717 dunn way, placentia, ca 92870, usa"
239,Breakfast Exorcism,Clown Shoes,American Double , Imperial Stout ,,4.36,53,329,-70.843912,42.672726,"23 hayward st, ipswich, ma 01938, usa"
240,Birth Of Tragedy,Hill Farmstead Brewery,American Porter , 9.00% ABV,,4.36,178,"1,170",-72.2631241,44.6068317,"403 hill rd, greensboro bend, vt 05842, usa"
241,Stone Enjoy By Unfiltered IPA,Stone Brewing,American Double , Imperial IPA ,,4.36,248,"1,323",-117.119979,33.115659,"1999 citracado parkway, escondido, ca 92029, usa"
242,Luscious,The Alchemist,Russian Imperial Stout , 9.20% ABV,,4.36,81,477,-72.7166371,44.4762604,"100 cottage club rd, stowe, vt 05672, usa"
243,Uncle Jacob's Stout,Avery Brewing Company,American Double , Imperial Stout ,,4.36,403,"2,599",-105.2047427,40.0625629,"4910 nautilus ct s, boulder, co 80301, usa"
244,Tesseract,Grimm Artisanal Ales,American Double , Imperial IPA ,,4.35,80,472,-105.046949,40.396763,"623 denver ave, loveland, co 80537, usa"
245,Wisconsin Belgian Red,New Glarus Brewing Company,Fruit , Vegetable Beer ,,4.35,996,"3,529",-89.6301984,42.7944559,"2400 wi-69, new glarus, wi 53574, usa"
246,Locust Reign,New England Brewing Co.,American Double , Imperial IPA ,,4.35,38,300,-72.9808501,41.339609,"175 amity rd, woodbridge, ct 06525, usa"
247,Bourbon Barrel Black Maple,Jackie O's Pub & Brewery,American Porter , 11.00% ABV,,4.35,102,928,-82.1023006,39.3277484,"22-24 w union st, athens, oh 45701, usa"
248,Buxton / Omnipollo Yellow Belly,Buxton Brewery,American Double , Imperial Stout ,,4.35,76,406,-1.8960507,53.2459354,"staden business park, staden lane, buxton sk17 9rz, united kingdom"
249,Hop Venom Double IPA,Boneyard Beer Company,American Double , Imperial IPA ,,4.35,120,917,-121.3080614,44.0539751,"37 nw lake pl # b, bend, or 97701, usa"
250,Magnetic Compass,Grimm Artisanal Ales,American IPA , 6.40% ABV,,4.35,54,251,-105.046949,40.396763,"623 denver ave, loveland, co 80537, usa"
